YelpCategory,SchemaType
Accountants,['AccountingService']
Addiction Medicine,['Drug']
Adult Entertainment,['AdultEntertainment']
Airlines,['Airline']
Airport Lounges,['Airport']
Airport Shuttles,['Airport']
Airport Terminals,['Airport']
Airports,['Airport']
Amateur Sports Teams,['SportsTeam']
Amusement Parks,['AmusementPark']
Anesthesiologists,['Anesthesia']
Animal Physical Therapy,['PhysicalTherapy']
Animal Shelters,['AnimalShelter']
Apartment Agents,['Apartment']
Apartments,['Apartment']
Aquarium Services,['Aquarium']
Aquariums,['Aquarium']
Art Consultants,['ArtGallery']
Art Galleries,['ArtGallery']
Art Installation,['ArtGallery']
Art Museums,['Museum']
Art Tours,['ArtGallery']
Arts & Entertainment,"['EntertainmentBusiness', 'ArtGallery']"
Auto Parts & Supplies,['AutoPartsStore']
Auto Repair,['AutoRepair']
Automotive,['AutomotiveBusiness']
Aviation Services,['Airline']
Ayurveda,['Ayurvedic']
Bakeries,['Bakery']
Banks & Credit Unions,"['BankOrCreditUnion', 'BankAccount']"
Bars,['BarOrPub']
Battery Stores,['ElectronicsStore']
Beauty & Spas,['DaySpa']
Beer Tours,['Brewery']
Beverage Store,['LiquorStore']
Bike Parking,['ParkingFacility']
Bike Repair/Maintenance,['MotorcycleRepair']
Bike Shop,['BikeStore']
Bikes,['Motorcycle']
Billing Services,['PaymentService']
Blow Dry/Out Services,['Service']
Boat Charters,['BoatReservation']
Boat Tours,['BoatTrip']
Boating,['BoatTrip']
Body Shops,['AutoBodyShop']
Books,['Book']
Bookstores,['BookStore']
Bowling,['BowlingAlley']
Breakfast & Brunch,['BedAndBreakfast']
Breweries,['Brewery']
Brewing Supplies,['Brewery']
Buddhist Temples,['BuddhistTemple']
Bus Stations,['BusStation']
Bus Tours,['BusTrip']
Buses,['BusTrip']
Cafes,['CafeOrCoffeeShop']
Campgrounds,['Campground']
Candy Stores,['GroceryStore']
Car Buyers,['AutoDealer']
Car Dealers,['AutoDealer']
Car Rental,['AutoRental']
Car Wash,['AutoWash']
Casinos,['Casino']
Child Care & Day Care,"['ChildCare', 'ChildCare']"
Children's Museums,['Museum']
Chiropractors,['Chiropractic']
Churches,['Church']
Cinema,['MovieTheater']
Circuit Training Gyms,['ExerciseGym']
Cocktail Bars,['BarOrPub']
Coffeeshops,['CafeOrCoffeeShop']
Colleges & Universities,"['CollegeOrUniversity', 'CollegeOrUniversity']"
Comedy Clubs,['ComedyClub']
