yelp_category;manual_mapped_schema;cosine_similarity
aviation service;airline;[('airline', 0.736), ('flight', 0.6349), ('airport', 0.5912), ('service', 0.5792), ('government service', 0.5602)]
veterinarian;veterinary care;[('veterinary care', 0.7721), ('physician', 0.5791), ('medical specialty', 0.5344), ('pet', 0.5172), ('medical researcher', 0.5123)]
shaved snow;None;[('mountain', 0.426), ('skin', 0.4146), ('ski resort', 0.4043), ('season', 0.4032), ('appearance', 0.3874)]
game truck rental;None;[('auto rental', 0.6386), ('rv park', 0.526), ('movie rental store', 0.5028), ('rental vehicle usage', 0.4942), ('video game', 0.4785)]
hunting supply;None;[('how to supply', 0.4992), ('pawn shop', 0.4438), ('hobby shop', 0.4367), ('sporting goods store', 0.4149), ('wholesale', 0.3833)]
radio station;radio station;[('radio station', 1.0), ('radio channel', 0.8152), ('television station', 0.7852), ('radio season', 0.7408), ('radio broadcast service', 0.7374)]
historical tour;None;[('tourist trip', 0.6387), ('tourist destination', 0.5927), ('trip', 0.5705), ('tourist attraction', 0.5675), ('museum', 0.526)]
pressure washer;None;[('auto wash', 0.5903), ('dry cleaning or laundry', 0.4444), ('plumber', 0.3986), ('reservoir', 0.3413), ('public toilet', 0.3304)]
butcher;None;[('occupation', 0.4298), ('restaurant', 0.398), ('food service', 0.3961), ('neck', 0.3903), ('bone', 0.3874)]
floral designer;florist;[('florist', 0.6862), ('beauty salon', 0.5684), ('health and beauty business', 0.4508), ('garden store', 0.4442), ('sculpture', 0.4426)]
latin american;None;[('country', 0.4518), ('continent', 0.3902), ('brand', 0.3577), ('language', 0.357), ('ct', 0.343)]
shutter;None;[('photograph', 0.621), ('photograph action', 0.5551), ('image object snapshot', 0.4398), ('eye', 0.4241), ('video object snapshot', 0.4106)]
spiritual shop;None;[('clothing store', 0.5662), ('liquor store', 0.5525), ('shopping center', 0.53), ('garden store', 0.5288), ('home goods store', 0.5286)]
cabinetry;furniture store;[('government office', 0.4831), ('furniture store', 0.4712), ('financial service', 0.45), ('real estate agent', 0.4421), ('funding agency', 0.4282)]
halotherapy;None;[('radiation therapy', 0.6607), ('therapeutic procedure', 0.5171), ('medical therapy', 0.5098), ('therapeutic', 0.4445), ('treatment indication', 0.4018)]
chicken wing;None;[('flight', 0.4594), ('pond', 0.3686), ('brand', 0.3572), ('neck', 0.3534), ('bridge', 0.3487)]
laboratory testing;laboratory science;[('laboratory science', 0.808), ('diagnostic lab', 0.6757), ('medical test', 0.6303), ('blood test', 0.6072), ('pathology test', 0.5442)]
petting zoo;zoo;[('zoo', 0.8084), ('pet', 0.5962), ('animal shelter', 0.5882), ('pet store', 0.5694), ('veterinary care', 0.5149)]
obstetrician;obstetric;[('obstetric', 0.9153), ('midwifery', 0.5839), ('clinician', 0.4761), ('physician', 0.4715), ('pediatric', 0.468)]
orthodontist;dentist;[('dentist', 0.6878), ('dentistry', 0.6198), ('optician', 0.4421), ('electrician', 0.4383), ('specialty', 0.413)]
hungarian;None;[('country', 0.4411), ('language', 0.4157), ('atlas', 0.387), ('prion', 0.3443), ('protozoa', 0.3149)]
