Entity,Attribute,Schema_Mapping
Business,name,https://schema.org/legalName
Business,address,https://schema.org/address
Business,postal_code,https://schema.org/postalCode
Business,latitude,https://schema.org/latitude
Business,longitude,https://schema.org/longitude
Business,stars,https://schema.org/aggregateRating
Business,review_count,https://schema.org/reviewCount
Business,is_open,https://schema.org/publicAccess
Business,categories,https://schema.org/keywords
User,name,https://schema.org/legalName
User,review_count,https://schema.org/reviewCount
User,yelping_since,https://schema.org/dateCreated
User,friends,https://schema.org/knows
Review,stars,https://schema.org/aggregateRating
Review,business_id,https://schema.org/about
Review,text,https://schema.org/description
Review,date,https://schema.org/dateCreated
Tip,business_id,https://schema.org/about
Tip,text,https://schema.org/description
Tip,date,https://schema.org/dateCreated
Checkin,date,https://schema.org/startTime
